957990	Abba Sabinou Monasterion	506±0
116891	Abu Mena	625±24
116854	Abu Mena	625±24
116533	Abu Mena	625±24
116610	Abu Mena	625±24
116781	Abu Mena	625±24
116490	Abu Mena	625±24
116314	Abu Mena	625±24
116365	Abu Mena	625±24
116992	Abu Mena	625±24
116843	Abu Mena	625±24
116760	Abu Mena	625±24
116939	Abu Mena	625±24
116407	Abu Mena	625±24
116350	Abu Mena	625±24
116266	Abu Mena	625±24
116290	Abu Mena	625±24
116576	Abu Mena	625±24
116507	Abu Mena	625±24
116711	Abu Mena	625±24
116649	Abu Mena	625±24
116442	Abu Mena	625±24
116892	Abu Mena	625±24
116936	Abu Mena	625±24
116603	Abu Mena	625±24
116620	Abu Mena	625±24
116524	Abu Mena	625±24
116462	Abu Mena	625±24
116801	Abu Mena	625±24
116671	Abu Mena	625±24
116984	Abu Mena	625±24
116301	Abu Mena	625±24
116543	Abu Mena	625±24
116489	Abu Mena	625±24
116907	Abu Mena	625±24
116868	Abu Mena	625±24
116933	Abu Mena	625±24
116733	Abu Mena	625±24
116911	Abu Mena	625±24
116491	Abu Mena	625±24
116660	Abu Mena	625±24
116203	Abu Mena	625±24
116622	Abu Mena	625±24
116340	Abu Mena	625±24
116433	Abu Mena	625±24
116654	Abu Mena	625±24
116772	Abu Mena	625±24
116840	Abu Mena	625±24
116704	Abu Mena	625±24
116789	Abu Mena	625±24
116734	Abu Mena	625±24
116380	Abu Mena	625±24
116598	Abu Mena	625±24
116641	Abu Mena	625±24
116305	Abu Mena	625±24
116758	Abu Mena	625±24
116258	Abu Mena	625±24
116514	Abu Mena	625±24
116917	Abu Mena	625±24
116751	Abu Mena	625±24
116678	Abu Mena	625±24
116566	Abu Mena	625±24
116672	Abu Mena	625±24
116531	Abu Mena	625±24
116716	Abu Mena	625±24
116217	Abu Mena	625±24
116957	Abu Mena	625±24
116619	Abu Mena	625±24
116448	Abu Mena	625±24
116493	Abu Mena	625±24
116664	Abu Mena	625±24
116401	Abu Mena	625±24
116347	Abu Mena	625±24
116634	Abu Mena	625±24
116959	Abu Mena	625±24
116408	Abu Mena	625±24
116737	Abu Mena	625±24
116255	Abu Mena	625±24
116632	Abu Mena	625±24
116226	Abu Mena	625±24
116513	Abu Mena	625±24
116821	Abu Mena	625±24
116981	Abu Mena	625±24
116699	Abu Mena	625±24
116400	Abu Mena	625±24
116712	Abu Mena	625±24
116483	Abu Mena	625±24
116955	Abu Mena	625±24
116989	Abu Mena	625±24
116839	Abu Mena	625±24
116431	Abu Mena	625±24
116540	Abu Mena	625±24
116880	Abu Mena	625±24
116719	Abu Mena	625±24
116398	Abu Mena	625±24
116667	Abu Mena	625±24
116337	Abu Mena	625±24
116763	Abu Mena	625±24
116611	Abu Mena	625±24
116554	Abu Mena	625±24
116799	Abu Mena	625±24
116684	Abu Mena	625±24
116605	Abu Mena	625±24
116313	Abu Mena	625±24
116822	Abu Mena	625±24
116738	Abu Mena	625±24
116283	Abu Mena	625±24
116282	Abu Mena	625±24
116798	Abu Mena	625±24
116389	Abu Mena	625±24
116392	Abu Mena	625±24
116956	Abu Mena	625±24
116883	Abu Mena	625±24
116569	Abu Mena	625±24
116238	Abu Mena	625±24
116570	Abu Mena	625±24
116812	Abu Mena	625±24
116473	Abu Mena	625±24
116402	Abu Mena	625±24
116958	Abu Mena	625±24
116437	Abu Mena	625±24
116835	Abu Mena	625±24
116358	Abu Mena	625±24
116475	Abu Mena	625±24
116902	Abu Mena	625±24
116876	Abu Mena	625±24
116885	Abu Mena	625±24
116395	Abu Mena	625±24
116887	Abu Mena	625±24
116204	Abu Mena	625±24
116230	Abu Mena	625±24
116919	Abu Mena	625±24
116580	Abu Mena	625±24
116766	Abu Mena	625±24
116316	Abu Mena	625±24
116504	Abu Mena	625±24
116435	Abu Mena	625±24
116694	Abu Mena	625±24
116646	Abu Mena	625±24
116518	Abu Mena	625±24
116486	Abu Mena	625±24
116384	Abu Mena	625±24
116396	Abu Mena	625±24
116502	Abu Mena	625±24
116496	Abu Mena	625±24
116653	Abu Mena	625±24
116784	Abu Mena	625±24
116797	Abu Mena	625±24
116972	Abu Mena	625±24
116882	Abu Mena	625±24
116901	Abu Mena	625±24
116824	Abu Mena	625±24
116409	Abu Mena	625±24
116753	Abu Mena	625±24
116944	Abu Mena	625±24
116852	Abu Mena	625±24
116745	Abu Mena	625±24
116515	Abu Mena	625±24
116412	Abu Mena	625±24
116216	Abu Mena	625±24
116636	Abu Mena	625±24
116272	Abu Mena	625±24
116312	Abu Mena	625±24
116586	Abu Mena	625±24
116221	Abu Mena	625±24
116995	Abu Mena	625±24
116588	Abu Mena	625±24
116709	Abu Mena	625±24
116988	Abu Mena	625±24
116626	Abu Mena	625±24
116862	Abu Mena	625±24
116977	Abu Mena	625±24
116464	Abu Mena	625±24
116296	Abu Mena	625±24
116564	Abu Mena	625±24
116855	Abu Mena	625±24
116519	Abu Mena	625±24
116575	Abu Mena	625±24
116271	Abu Mena	625±24
116979	Abu Mena	625±24
116345	Abu Mena	625±24
116222	Abu Mena	625±24
116621	Abu Mena	625±24
116755	Abu Mena	625±24
116742	Abu Mena	625±24
116565	Abu Mena	625±24
116856	Abu Mena	625±24
116267	Abu Mena	625±24
116842	Abu Mena	625±24
116527	Abu Mena	625±24
116511	Abu Mena	625±24
116561	Abu Mena	625±24
116820	Abu Mena	625±24
116257	Abu Mena	625±24
116827	Abu Mena	625±24
116351	Abu Mena	625±24
116966	Abu Mena	625±24
116635	Abu Mena	625±24
116743	Abu Mena	625±24
116952	Abu Mena	625±24
116429	Abu Mena	625±24
116800	Abu Mena	625±24
116599	Abu Mena	625±24
116306	Abu Mena	625±24
116945	Abu Mena	625±24
116590	Abu Mena	625±24
116310	Abu Mena	625±24
116750	Abu Mena	625±24
116698	Abu Mena	625±24
116517	Abu Mena	625±24
116368	Abu Mena	625±24
116218	Abu Mena	625±24
116427	Abu Mena	625±24
116388	Abu Mena	625±24
116256	Abu Mena	625±24
116357	Abu Mena	625±24
116485	Abu Mena	625±24
116553	Abu Mena	625±24
116696	Abu Mena	625±24
116219	Abu Mena	625±24
116975	Abu Mena	625±24
116476	Abu Mena	625±24
116477	Abu Mena	625±24
116243	Abu Mena	625±24
116200	Abu Mena	625±24
116432	Abu Mena	625±24
116294	Abu Mena	625±24
116990	Abu Mena	625±24
116978	Abu Mena	625±24
116675	Abu Mena	625±24
116529	Abu Mena	625±24
116223	Abu Mena	625±24
116774	Abu Mena	625±24
116828	Abu Mena	625±24
116458	Abu Mena	625±24
116640	Abu Mena	625±24
116584	Abu Mena	625±24
116295	Abu Mena	625±24
116752	Abu Mena	625±24
116943	Abu Mena	625±24
116951	Abu Mena	625±24
116776	Abu Mena	625±24
116817	Abu Mena	625±24
116242	Abu Mena	625±24
116973	Abu Mena	625±24
116628	Abu Mena	625±24
116394	Abu Mena	625±24
116572	Abu Mena	625±24
116334	Abu Mena	625±24
116268	Abu Mena	625±24
116909	Abu Mena	625±24
116558	Abu Mena	625±24
116411	Abu Mena	625±24
116562	Abu Mena	625±24
116942	Abu Mena	625±24
116297	Abu Mena	625±24
116896	Abu Mena	625±24
116520	Abu Mena	625±24
116454	Abu Mena	625±24
116344	Abu Mena	625±24
116998	Abu Mena	625±24
116333	Abu Mena	625±24
116254	Abu Mena	625±24
116593	Abu Mena	625±24
116343	Abu Mena	625±24
116613	Abu Mena	625±24
116674	Abu Mena	625±24
116270	Abu Mena	625±24
116459	Abu Mena	625±24
116456	Abu Mena	625±24
116307	Abu Mena	625±24
116274	Abu Mena	625±24
116582	Abu Mena	625±24
116498	Abu Mena	625±24
116787	Abu Mena	625±24
116331	Abu Mena	625±24
116871	Abu Mena	625±24
116762	Abu Mena	625±24
116930	Abu Mena	625±24
116240	Abu Mena	625±24
116436	Abu Mena	625±24
116382	Abu Mena	625±24
116469	Abu Mena	625±24
116288	Abu Mena	625±24
116859	Abu Mena	625±24
116847	Abu Mena	625±24
116390	Abu Mena	625±24
116771	Abu Mena	625±24
116225	Abu Mena	625±24
116239	Abu Mena	625±24
116574	Abu Mena	625±24
116457	Abu Mena	625±24
116927	Abu Mena	625±24
116213	Abu Mena	625±24
116323	Abu Mena	625±24
117000	Abu Mena	625±24
116809	Abu Mena	625±24
116607	Abu Mena	625±24
116937	Abu Mena	625±24
116805	Abu Mena	625±24
116269	Abu Mena	625±24
116965	Abu Mena	625±24
116280	Abu Mena	625±24
116555	Abu Mena	625±24
116815	Abu Mena	625±24
116594	Abu Mena	625±24
116948	Abu Mena	625±24
116949	Abu Mena	625±24
116677	Abu Mena	625±24
116303	Abu Mena	625±24
116210	Abu Mena	625±24
116339	Abu Mena	625±24
116741	Abu Mena	625±24
116397	Abu Mena	625±24
116470	Abu Mena	625±24
116705	Abu Mena	625±24
116759	Abu Mena	625±24
116332	Abu Mena	625±24
116383	Abu Mena	625±24
116250	Abu Mena	625±24
116348	Abu Mena	625±24
116974	Abu Mena	625±24
116971	Abu Mena	625±24
116875	Abu Mena	625±24
116410	Abu Mena	625±24
116234	Abu Mena	625±24
116508	Abu Mena	625±24
116729	Abu Mena	625±24
116547	Abu Mena	625±24
116468	Abu Mena	625±24
116900	Abu Mena	625±24
116516	Abu Mena	625±24
116695	Abu Mena	625±24
116355	Abu Mena	625±24
116962	Abu Mena	625±24
116925	Abu Mena	625±24
116877	Abu Mena	625±24
116281	Abu Mena	625±24
116559	Abu Mena	625±24
116986	Abu Mena	625±24
116202	Abu Mena	625±24
116985	Abu Mena	625±24
116682	Abu Mena	625±24
116329	Abu Mena	625±24
116808	Abu Mena	625±24
116713	Abu Mena	625±24
116940	Abu Mena	625±24
116739	Abu Mena	625±24
116791	Abu Mena	625±24
116324	Abu Mena	625±24
116381	Abu Mena	625±24
116690	Abu Mena	625±24
116571	Abu Mena	625±24
116631	Abu Mena	625±24
116905	Abu Mena	625±24
116325	Abu Mena	625±24
116595	Abu Mena	625±24
116700	Abu Mena	625±24
116472	Abu Mena	625±24
116884	Abu Mena	625±24
116655	Abu Mena	625±24
116445	Abu Mena	625±24
116359	Abu Mena	625±24
116722	Abu Mena	625±24
116810	Abu Mena	625±24
116546	Abu Mena	625±24
116293	Abu Mena	625±24
116521	Abu Mena	625±24
116746	Abu Mena	625±24
116550	Abu Mena	625±24
116643	Abu Mena	625±24
116863	Abu Mena	625±24
116370	Abu Mena	625±24
116714	Abu Mena	625±24
116539	Abu Mena	625±24
116277	Abu Mena	625±24
116506	Abu Mena	625±24
116960	Abu Mena	625±24
116311	Abu Mena	625±24
116869	Abu Mena	625±24
116912	Abu Mena	625±24
116327	Abu Mena	625±24
116765	Abu Mena	625±24
116374	Abu Mena	625±24
116624	Abu Mena	625±24
116419	Abu Mena	625±24
116792	Abu Mena	625±24
116967	Abu Mena	625±24
116898	Abu Mena	625±24
116931	Abu Mena	625±24
116926	Abu Mena	625±24
116685	Abu Mena	625±24
116385	Abu Mena	625±24
116980	Abu Mena	625±24
116922	Abu Mena	625±24
116201	Abu Mena	625±24
116928	Abu Mena	625±24
116953	Abu Mena	625±24
116354	Abu Mena	625±24
116585	Abu Mena	625±24
116523	Abu Mena	625±24
116642	Abu Mena	625±24
116592	Abu Mena	625±24
116764	Abu Mena	625±24
116304	Abu Mena	625±24
116740	Abu Mena	625±24
116474	Abu Mena	625±24
116406	Abu Mena	625±24
116968	Abu Mena	625±24
116209	Abu Mena	625±24
116512	Abu Mena	625±24
116224	Abu Mena	625±24
116291	Abu Mena	625±24
116616	Abu Mena	625±24
116889	Abu Mena	625±24
116969	Abu Mena	625±24
116535	Abu Mena	625±24
116352	Abu Mena	625±24
116501	Abu Mena	625±24
116249	Abu Mena	625±24
116650	Abu Mena	625±24
116630	Abu Mena	625±24
116422	Abu Mena	625±24
116484	Abu Mena	625±24
116625	Abu Mena	625±24
116689	Abu Mena	625±24
116375	Abu Mena	625±24
116963	Abu Mena	625±24
116530	Abu Mena	625±24
116235	Abu Mena	625±24
116941	Abu Mena	625±24
116549	Abu Mena	625±24
116770	Abu Mena	625±24
116424	Abu Mena	625±24
116663	Abu Mena	625±24
116338	Abu Mena	625±24
116778	Abu Mena	625±24
116335	Abu Mena	625±24
116563	Abu Mena	625±24
116299	Abu Mena	625±24
116744	Abu Mena	625±24
116602	Abu Mena	625±24
116806	Abu Mena	625±24
116544	Abu Mena	625±24
116725	Abu Mena	625±24
116652	Abu Mena	625±24
116478	Abu Mena	625±24
116910	Abu Mena	625±24
116897	Abu Mena	625±24
116786	Abu Mena	625±24
116647	Abu Mena	625±24
116247	Abu Mena	625±24
116915	Abu Mena	625±24
116832	Abu Mena	625±24
116500	Abu Mena	625±24
116451	Abu Mena	625±24
116444	Abu Mena	625±24
116673	Abu Mena	625±24
116589	Abu Mena	625±24
116298	Abu Mena	625±24
116864	Abu Mena	625±24
117217	Abu Mena	625±24
117438	Abu Mena	625±24
117433	Abu Mena	625±24
117488	Abu Mena	625±24
117205	Abu Mena	625±24
117367	Abu Mena	625±24
117256	Abu Mena	625±24
117384	Abu Mena	625±24
117098	Abu Mena	625±24
117058	Abu Mena	625±24
117184	Abu Mena	625±24
117339	Abu Mena	625±24
117193	Abu Mena	625±24
117082	Abu Mena	625±24
117103	Abu Mena	625±24
117134	Abu Mena	625±24
117481	Abu Mena	625±24
117435	Abu Mena	625±24
117334	Abu Mena	625±24
117149	Abu Mena	625±24
117168	Abu Mena	625±24
117003	Abu Mena	625±24
117162	Abu Mena	625±24
117377	Abu Mena	625±24
117119	Abu Mena	625±24
117524	Abu Mena	625±24
117137	Abu Mena	625±24
117516	Abu Mena	625±24
117342	Abu Mena	625±24
117515	Abu Mena	625±24
117088	Abu Mena	625±24
117345	Abu Mena	625±24
117085	Abu Mena	625±24
117263	Abu Mena	625±24
117405	Abu Mena	625±24
117059	Abu Mena	625±24
117132	Abu Mena	625±24
117136	Abu Mena	625±24
117013	Abu Mena	625±24
117578	Abu Mena	625±24
117492	Abu Mena	625±24
117107	Abu Mena	625±24
117169	Abu Mena	625±24
117306	Abu Mena	625±24
117455	Abu Mena	625±24
117378	Abu Mena	625±24
117473	Abu Mena	625±24
117002	Abu Mena	625±24
117015	Abu Mena	625±24
117158	Abu Mena	625±24
117424	Abu Mena	625±24
117286	Abu Mena	625±24
117175	Abu Mena	625±24
117210	Abu Mena	625±24
117190	Abu Mena	625±24
117441	Abu Mena	625±24
117113	Abu Mena	625±24
117468	Abu Mena	625±24
117436	Abu Mena	625±24
117077	Abu Mena	625±24
117580	Abu Mena	625±24
117555	Abu Mena	625±24
117317	Abu Mena	625±24
117321	Abu Mena	625±24
117458	Abu Mena	625±24
117501	Abu Mena	625±24
117100	Abu Mena	625±24
117447	Abu Mena	625±24
117160	Abu Mena	625±24
117023	Abu Mena	625±24
117010	Abu Mena	625±24
117163	Abu Mena	625±24
117074	Abu Mena	625±24
117302	Abu Mena	625±24
117398	Abu Mena	625±24
117489	Abu Mena	625±24
117284	Abu Mena	625±24
117062	Abu Mena	625±24
117051	Abu Mena	625±24
117191	Abu Mena	625±24
117393	Abu Mena	625±24
117391	Abu Mena	625±24
